model_id,task_id,applies
P00001,MAINT001,Yes
P00001,MAINT002,Yes
P00001,MAINT003,Yes
P00001,MAINT004,Yes
P00001,MAINT005,Yes
P00001,MAINT006,Yes
P00001,MAINT007,Yes
P00001,MAINT008,Yes
P00001,MAINT009,Yes
P00001,MAINT010,Yes
P00001,MAINT011,Yes
P00001,MAINT012,Yes
P00001,MAINT013,Yes
P00001,MAINT015,Yes
P00001,MAINT016,Yes
P00001,MAINT022,Yes
P00001,MAINT024,Yes
P00002,MAINT001,Yes
P00002,MAINT002,Yes
P00002,MAINT003,Yes
P00002,MAINT004,Yes
P00002,MAINT005,Yes
P00002,MAINT006,Yes
P00002,MAINT007,Yes
P00002,MAINT008,Yes
P00002,MAINT009,Yes
P00002,MAINT010,Yes
P00002,MAINT011,Yes
P00002,MAINT012,Yes
P00002,MAINT013,Yes
P00002,MAINT015,Yes
P00002,MAINT016,Yes
P00002,MAINT022,Yes
P00002,MAINT024,Yes
P00014,MAINT001,Yes
P00014,MAINT002,Yes
P00014,MAINT004,Yes
P00014,MAINT006,Yes
P00014,MAINT008,Yes
P00014,MAINT009,Yes
P00014,MAINT010,Yes
P00014,MAINT011,Yes
P00014,MAINT012,Yes
P00014,MAINT013,Yes
P00014,MAINT015,Yes
P00014,MAINT016,Yes
P00014,MAINT017,Yes
P00014,MAINT018,Yes
P00014,MAINT019,Yes
P00014,MAINT022,Yes
P00014,MAINT024,Yes
P00015,MAINT001,Yes
P00015,MAINT002,Yes
P00015,MAINT004,Yes
P00015,MAINT006,Yes
P00015,MAINT008,Yes
P00015,MAINT009,Yes
P00015,MAINT010,Yes
P00015,MAINT011,Yes
P00015,MAINT012,Yes
P00015,MAINT013,Yes
P00015,MAINT015,Yes
P00015,MAINT016,Yes
P00015,MAINT017,Yes
P00015,MAINT018,Yes
P00015,MAINT019,Yes
P00015,MAINT022,Yes
P00015,MAINT024,Yes
P00032,MAINT001,Yes
P00032,MAINT002,Yes
P00032,MAINT003,Yes
P00032,MAINT004,Yes
P00032,MAINT005,Yes
P00032,MAINT006,Yes
P00032,MAINT007,Yes
P00032,MAINT008,Yes
P00032,MAINT009,Yes
P00032,MAINT010,Yes
P00032,MAINT011,Yes
P00032,MAINT012,Yes
P00032,MAINT013,Yes
P00032,MAINT015,Yes
P00032,MAINT016,Yes
P00032,MAINT022,Yes
P00032,MAINT023,Yes
P00032,MAINT024,Yes
P00040,MAINT001,Yes
P00040,MAINT002,Yes
P00040,MAINT004,Yes
P00040,MAINT006,Yes
P00040,MAINT008,Yes
P00040,MAINT009,Yes
P00040,MAINT010,Yes
P00040,MAINT011,Yes
P00040,MAINT012,Yes
P00040,MAINT013,Yes
P00040,MAINT015,Yes
P00040,MAINT016,Yes
P00040,MAINT020,Yes
P00040,MAINT021,Yes
P00040,MAINT022,Yes
P00040,MAINT023,Yes
P00040,MAINT024,Yes
P00041,MAINT001,Yes
P00041,MAINT002,Yes
P00041,MAINT004,Yes
P00041,MAINT006,Yes
P00041,MAINT008,Yes
P00041,MAINT009,Yes
P00041,MAINT010,Yes
P00041,MAINT011,Yes
P00041,MAINT012,Yes
P00041,MAINT013,Yes
P00041,MAINT015,Yes
P00041,MAINT016,Yes
P00041,MAINT020,Yes
P00041,MAINT021,Yes
P00041,MAINT022,Yes
P00041,MAINT023,Yes
P00041,MAINT024,Yes
