model_id,application,suitability_score,is_recommended,key_reason
P00001,domestic,9,Yes,""CSP series drainage pump ideal for residential basement dewatering and drainage. 1.5 HP single phase perfect for household use."""
P00001,agricultural,4,No,""Designed for drainage applications. Not suitable for continuous irrigation duty."""
P00001,industrial,5,No,""Limited to light drainage tasks. Not designed for heavy industrial applications."""
P00002,domestic,9,Yes,""CSP-551-T drainage pump excellent for residential water removal from sumps basements and flooded areas. Easy single phase operation."""
P00002,agricultural,4,No,""Drainage pump not optimized for agricultural irrigation requirements."""
P00002,industrial,5,No,""Suitable only for light commercial drainage. Heavy industrial use not recommended."""
P00003,domestic,6,No,""LAP-2335 requires three-phase power not typically available in residential areas. Better suited for commercial drainage."""
P00003,agricultural,7,Yes,""Good for farm drainage and water removal applications. Three-phase operation suitable for agricultural settings."""
P00003,industrial,8,Yes,""Excellent for industrial drainage systems. Reliable three-phase operation for continuous duty."""
P00004,domestic,9,Yes,""LAP-3315 single phase drainage pump perfect for home basement and sump drainage. Easy installation and operation."""
P00004,agricultural,5,No,""Designed primarily for drainage rather than irrigation applications."""
P00004,industrial,6,No,""Limited to residential and light commercial drainage applications."""
P00005,domestic,7,No,""Three-phase 1.5 HP model requires industrial power supply. Suitable only for large homes with three-phase connection."""
P00005,agricultural,8,Yes,""LAP-3335 three-phase model excellent for farm drainage systems. Reliable for continuous agricultural use."""
P00005,industrial,9,Yes,""Ideal for industrial drainage applications. Robust three-phase design for heavy-duty continuous operation."""
P00014,domestic,5,No,""LHP-103035 sewage pump with 5 HP three-phase motor. Oversized for typical residential sewage needs."""
P00014,agricultural,7,Yes,""Good for agricultural waste water handling and livestock facility drainage."""
P00014,industrial,9,Yes,""Excellent for industrial sewage and effluent pumping. High capacity 5 HP three-phase motor handles heavy solids."""
P00015,domestic,4,No,""7.5 HP three-phase sewage pump. Too large and requires three-phase power not available in most homes."""
P00015,agricultural,8,Yes,""Perfect for large farm sewage systems dairy parlor waste and agricultural effluent handling."""
P00015,industrial,10,Yes,""Industrial-grade sewage pump with 7.5 HP motor. Ideal for factories commercial buildings and treatment plants."""
P00032,domestic,8,Yes,""LBI-101 monoblock centrifugal pump 5 HP single phase. Good for large homes requiring high water pressure and flow."""
P00032,agricultural,9,Yes,""Excellent for small to medium farm irrigation. Single phase 5 HP suitable for drip and sprinkler systems up to 2 acres."""
P00032,industrial,7,Yes,""Suitable for light industrial water transfer car wash systems and pressure boosting applications."""
P00033,domestic,7,No,""LBI-101H high head variant requires specific pressure applications. May be oversized for typical residential use."""
P00033,agricultural,9,Yes,""Perfect for hilly terrain irrigation requiring high pressure. Excellent for uphill water transfer on farms."""
P00033,industrial,8,Yes,""Good for industrial applications requiring high pressure. Suitable for cooling systems and process water supply."""
P00040,domestic,8,Yes,""LHR 2-9 multistage pump 0.5 HP three-phase. Excellent for apartment buildings and multi-floor water pressure boosting."""
P00040,agricultural,6,No,""Multistage design optimized for pressure applications rather than high flow irrigation."""
P00040,industrial,7,Yes,""Good for industrial pressure boosting RO systems and process water applications requiring consistent pressure."""
P00041,domestic,9,Yes,""LHR 2-11 multistage 0.75 HP ideal for residential pressure boosting. Perfect for 2-3 floor buildings with consistent water pressure needs."""
P00041,agricultural,6,No,""Designed for pressure applications. Better alternatives available for typical agricultural irrigation."""
P00041,industrial,8,Yes,""Excellent for industrial RO plants boiler feed and applications requiring multi-stage pressure boost."""
P00049,domestic,9,Yes,""MVR 2-11 vertical multistage pump 1.5 HP. Excellent for apartment complexes and residential water pressure systems."""
P00049,agricultural,5,No,""Vertical multistage design optimized for pressure. Not ideal for high-flow agricultural irrigation."""
P00049,industrial,8,Yes,""Perfect for industrial pressure boosting HVAC systems and process water applications. Compact vertical design saves space."""
P00050,domestic,9,Yes,""MVR 2-13 vertical multistage 2 HP pump. Ideal for mid to high-rise residential buildings requiring consistent water pressure."""
P00050,agricultural,5,No,""Multistage pressure pump not optimized for agricultural irrigation flow requirements."""
P00050,industrial,9,Yes,""Excellent for industrial fire fighting systems cooling towers and high-pressure process water applications."""
