model_id,model_name,manufacturer,series_family,category,sub_category,is_active,date_added
P00001,CSP-521-T,LUBI,CSP,Domestic,DRAINAGE PUMPS,Yes,2024-01-15
P00002,CSP-551-T,LUBI,CSP,Domestic,DRAINAGE PUMPS,Yes,2024-01-15
P00003,LAP-2335,LUBI,LAP,Domestic,DRAINAGE PUMPS,Yes,2024-01-16
P00004,LAP-3315,LUBI,LAP,Domestic,DRAINAGE PUMPS,Yes,2024-01-16
P00005,LAP-3335,LUBI,LAP,Domestic,DRAINAGE PUMPS,Yes,2024-01-16
P00006,LAP-4315,LUBI,LAP,Domestic,DRAINAGE PUMPS,Yes,2024-01-17
P00007,LAP-4335,LUBI,LAP,Domestic,DRAINAGE PUMPS,Yes,2024-01-17
P00008,LFP-2115U,LUBI,LFP,Domestic,SEWAGE PUMP,Yes,2024-01-18
P00009,LFP-2135U,LUBI,LFP,Domestic,SEWAGE PUMP,Yes,2024-01-18
P00010,LFP-3215,LUBI,LFP,Domestic,SEWAGE PUMP,Yes,2024-01-19
P00011,LFP-3235,LUBI,LFP,Domestic,SEWAGE PUMP,Yes,2024-01-19
P00012,LFP-3215U,LUBI,LFP,Domestic,SEWAGE PUMP,Yes,2024-01-20
P00013,LFP-3235U,LUBI,LFP,Domestic,SEWAGE PUMP,Yes,2024-01-20
P00014,LHP-103035,LUBI,LHP,Domestic,SEWAGE PUMP,Yes,2024-01-21
P00015,LHP-104035,LUBI,LHP,Domestic,SEWAGE PUMP,Yes,2024-01-21
P00016,LHP-105035,LUBI,LHP,Domestic,SEWAGE PUMP,Yes,2024-01-22
P00017,LHP-106035,LUBI,LHP,Domestic,SEWAGE PUMP,Yes,2024-01-22
P00018,LHP-1010035,LUBI,LHP,Domestic,SEWAGE PUMP,Yes,2024-01-23
P00019,LHP-1012035,LUBI,LHP,Domestic,SEWAGE PUMP,Yes,2024-01-23
P00020,LHP-1014035,LUBI,LHP,Domestic,SEWAGE PUMP,Yes,2024-01-24
P00021,LHP-143035,LUBI,LHP,Domestic,SEWAGE PUMP,Yes,2024-01-24
P00022,LHP-144035,LUBI,LHP,Domestic,SEWAGE PUMP,Yes,2024-01-25
P00023,LHP-145035,LUBI,LHP,Domestic,SEWAGE PUMP,Yes,2024-01-25
P00024,LHP-146035,LUBI,LHP,Domestic,SEWAGE PUMP,Yes,2024-01-26
P00025,LAS-3335,LUBI,LAS,Domestic,SEWAGE PUMP,Yes,2024-01-26
P00026,LAS-3535,LUBI,LAS,Domestic,SEWAGE PUMP,Yes,2024-01-27
P00027,LAS-3735,LUBI,LAS,Domestic,SEWAGE PUMP,Yes,2024-01-27
P00028,LAS-4735,LUBI,LAS,Domestic,SEWAGE PUMP,Yes,2024-01-28
P00029,LAS-6735,LUBI,LAS,Domestic,SEWAGE PUMP,Yes,2024-01-28
P00030,LAS-41035,LUBI,LAS,Domestic,SEWAGE PUMP,Yes,2024-01-29
P00031,LAS-61035,LUBI,LAS,Domestic,SEWAGE PUMP,Yes,2024-01-29
P00032,LBI-101,LUBI,LBI,Industrial,Monoblock Centrifugal Pump,Yes,2024-01-30
P00033,LBI-101H,LUBI,LBI,Industrial,Monoblock Centrifugal Pump,Yes,2024-01-30
P00034,LBI-103,LUBI,LBI,Industrial,Monoblock Centrifugal Pump,Yes,2024-01-31
P00035,LBI-105L,LUBI,LBI,Industrial,Monoblock Centrifugal Pump,Yes,2024-01-31
P00036,LBI-106,LUBI,LBI,Industrial,Monoblock Centrifugal Pump,Yes,2024-02-01
P00037,LBI-11,LUBI,LBI,Industrial,Monoblock Centrifugal Pump,Yes,2024-02-01
P00038,LBI-12,LUBI,LBI,Industrial,Monoblock Centrifugal Pump,Yes,2024-02-02
P00039,LBI-13,LUBI,LBI,Industrial,Monoblock Centrifugal Pump,Yes,2024-02-02
P00040,LHR 2-9,LUBI,LHR,Domestic,Multistage Centrifugal Pump,Yes,2024-02-03
P00041,LHR 2-11,LUBI,LHR,Domestic,Multistage Centrifugal Pump,Yes,2024-02-03
P00042,LHR 2-13,LUBI,LHR,Domestic,Multistage Centrifugal Pump,Yes,2024-02-04
P00043,LHR 2-15,LUBI,LHR,Domestic,Multistage Centrifugal Pump,Yes,2024-02-04
P00044,LHR 2-18,LUBI,LHR,Domestic,Multistage Centrifugal Pump,Yes,2024-02-05
P00045,LHR 2-22,LUBI,LHR,Domestic,Multistage Centrifugal Pump,Yes,2024-02-05
P00046,LHR 4-12,LUBI,LHR,Domestic,Multistage Centrifugal Pump,Yes,2024-02-06
P00047,LHR 4-16,LUBI,LHR,Domestic,Multistage Centrifugal Pump,Yes,2024-02-06
P00048,LHR 4-18,LUBI,LHR,Domestic,Multistage Centrifugal Pump,Yes,2024-02-07
P00049,MVR 2-11,LUBI,MVR,Domestic,Multistage Centrifugal Pump,Yes,2024-02-07
P00050,MVR 2-13,LUBI,MVR,Domestic,Multistage Centrifugal Pump,Yes,2024-02-08
