issue_id,pump_category,problem,cause_1,solution_1,cause_2,solution_2,cause_3,solution_3,severity
TRBL001,All,Pump not starting,No power supply to motor,Check MCB/fuse and main power supply. Test with multimeter.,Capacitor failure (single phase),Replace start/run capacitor with same rating.,Motor winding burnt,Contact authorized service center for motor rewind/replacement.,Critical
TRBL002,All,Motor running but no water discharge,Pump not primed,Remove priming plug and fill casing completely with water. Prime until water overflows.,Air leak in suction pipe,Check all suction connections with soap water. Tighten or replace gaskets.,Impeller damaged or loose,Open pump casing and check impeller. Tighten on shaft or replace if damaged.,Major
TRBL003,All,Low water flow or pressure,Clogged foot valve or strainer,Remove and clean foot valve. Clear strainer of debris.,Worn impeller,Open casing and inspect impeller. Replace if vanes worn down.,Suction pipe air leak,Seal all suction joints. Check foot valve seal.,Major
TRBL004,All,Excessive vibration,Loose foundation bolts,Tighten all foundation bolts. Check base level.,Bent or damaged shaft,Check shaft runout. Replace shaft if bent beyond tolerance.,Damaged impeller or foreign object,Open casing and inspect impeller. Remove any obstructions.,Major
TRBL005,All,Motor overheating,Continuous operation without breaks,Allow motor to cool. Install timer for duty cycle control.,Low voltage supply,Check supply voltage. Install voltage stabilizer if fluctuating.,Bearing failure imminent,Check bearing condition. Replace if rough or noisy.,Major
TRBL006,All,Pump runs but trips on overload,Motor overloaded,Check current draw vs nameplate. Reduce load or check for blockage.,Incorrect overload relay setting,Adjust or replace overload relay to match motor rating.,Phase failure (three phase),Check all three phases. Repair supply or connections.,Critical
TRBL007,All,Water leaking from pump body,Mechanical seal failure,Replace mechanical seal kit. Check shaft condition.,Gasket damaged,Open pump and replace body gasket. Ensure mating surfaces clean.,Casing crack,Inspect casing for cracks. Replace pump body if cracked.,Major
TRBL008,All,Noisy operation,Cavitation in pump,Check NPSH. Lower pump or reduce suction lift. Check foot valve.,Bearing wear,Check bearing play and noise. Replace bearings if worn.,Air in suction line,Prime pump properly. Fix all air leaks in suction.,Major
TRBL009,Single Phase,Humming but not starting,Start capacitor failed,Replace start capacitor with correct rating.,Centrifugal switch stuck,Clean or replace centrifugal switch in motor.,Winding open circuit,Check winding continuity. Service center for repair.,Critical
TRBL010,Three Phase,Wrong rotation direction,Incorrect phase sequence,Swap any two phase connections to reverse rotation.,Phase voltage imbalance,Check voltage on all three phases. Should be within 2%.,,,Minor
TRBL011,Drainage,Pump runs continuously,Float switch stuck in ON position,Clean float switch. Check for debris preventing movement.,Level control malfunction,Test and replace level controller or float switch.,Check valve failed,Replace non-return valve preventing backflow.,Major
TRBL012,Drainage,Pump cycles on/off frequently,Check valve leaking back,Replace discharge check valve.,Foot valve not sealing,Clean or replace foot valve.,Pipe leak causing sump refill,Inspect and repair discharge piping.,Minor
TRBL013,Sewage,Pump clogged with solids,Oversize solids in sewage,Install proper inlet screen. Educate users on disposal.,Pump undersized for application,Upgrade to larger pump with better solids handling.,Worn impeller clearances,Replace impeller and check wear rings.,Major
TRBL014,Sewage,Foul odor from pump,Seal water dried out,Ensure mechanical seal has water. Add seal flush if needed.,Seal leaking sewage,Replace mechanical seal. Clean area thoroughly.,Vent blocked,Clear vent pipe. Ensure proper ventilation.,Minor
TRBL015,Monoblock,Loss of prime,Suction lift too high,Lower pump position or reduce suction height below 7m.,Air in suction line,Find and seal all air entry points in suction.,Foot valve stuck open,Clean or replace foot valve.,Major
TRBL016,Monoblock,Bearing noise,Lack of lubrication,Grease bearings properly. Do not over-grease.,Bearing damaged,Replace bearings with correct type and size.,Misalignment,Check and correct pump alignment.,Major
TRBL017,Multistage,Pressure fluctuation,Air in system,Bleed air from pump and system. Check for suction leaks.,Worn stage components,Inspect and replace worn stage impellers or diffusers.,Speed variation,Check electrical supply. Consider VFD installation.,Major
TRBL018,Multistage,Excessive axial thrust,Balance piston worn,Inspect and replace balance piston.,Thrust bearing failure,Replace thrust bearing assembly.,Stage blockage,Dismantle and clean all stages.,Critical
TRBL019,All,High power consumption,Pump running against shut head,Open discharge valve gradually. Check system for blockage.,Mechanical binding,Check shaft rotation freely. Inspect bearings and seals.,Voltage too high,Check supply voltage. Should be within nameplate range.,Major
TRBL020,All,Erratic performance,Worn impeller,Measure impeller clearances. Replace if beyond tolerance.,Partial blockage,Dismantle pump. Clean all passages and impeller.,Air binding in casing,Prime pump properly. Install air release valves.,Major
